# ****************************************************************************
# CUI
#
# The Advanced Framework for Simulation, Integration, and Modeling (AFSIM)
#
# The use, dissemination or disclosure of data in this file is subject to
# limitation or restriction. See accompanying README and LICENSE for details.
# ****************************************************************************

#Launch data for DELTA_IV_M Launched from Latitude: 28.531986 Longitude: -80.566821 Altitude: 1.0
#Generated on Mon Dec  3 13:48:44 2018
#Lau-Hdg -Loft- -Incl.- -Time-- ---Lat---- ----Lon---- --Alt-- -Speed-- -FSpeed- --Hdg-- -Angle- -DeltaV- -Fleft- -Tleft-
  60.000 87.800   38.38  861.05  38.452025  -41.364501  367.09  7692.00  7306.90   86.97    0.00  1742.03  6098.0  253.96 370.407 x 369.310 km, e=0.000
  60.000 88.000   38.32  867.19  38.402296  -41.321465  392.38  7677.59  7290.74   87.08    0.00  1706.86  5950.6  247.82 395.714 x 394.660 km, e=0.000
  60.000 88.200   38.26  874.40  38.346045  -41.276994  422.65  7660.47  7271.54   87.21    0.00  1665.21  5777.5  240.61 426.023 x 425.013 km, e=0.000
  60.000 88.400   38.18  883.00  38.281050  -41.232091  459.58  7639.75  7248.32   87.36    0.00  1615.04  5571.0  232.01 463.042 x 462.072 km, e=0.000
  60.000 88.600   38.10  893.44  38.204216  -41.190241  505.77  7613.99  7219.44   87.52    0.00  1553.38  5320.3  221.57 509.189 x 508.292 km, e=0.000
  60.000 88.800   38.00  906.49  38.111518  -41.151927  565.70  7581.05  7182.52   87.71    0.00  1475.12  5006.9  208.52 569.239 x 568.391 km, e=0.000
  60.000 89.000    0.00    0.00   0.000000    0.000000    0.00     0.00     0.00    0.00    0.00     0.00     0.0    0.00 0.000 x 0.000 km, e=0.000
  70.000 81.000    0.00    0.00   0.000000    0.000000    0.00     0.00     0.00    0.00    0.00     0.00     0.0    0.00 0.000 x 0.000 km, e=0.000
  70.000 81.200    0.00    0.00   0.000000    0.000000    0.00     0.00     0.00    0.00    0.00     0.00     0.0    0.00 0.000 x 0.000 km, e=0.000
  70.000 81.400    0.00    0.00   0.000000    0.000000    0.00     0.00     0.00    0.00    0.00     0.00     0.0    0.00 0.000 x 0.000 km, e=0.000
  70.000 81.600    0.00    0.00   0.000000    0.000000    0.00     0.00     0.00    0.00    0.00     0.00     0.0    0.00 0.000 x 0.000 km, e=0.000
  70.000 81.800    0.00    0.00   0.000000    0.000000    0.00     0.00     0.00    0.00    0.00     0.00     0.0    0.00 0.000 x 0.000 km, e=0.000
  70.000 82.000   33.54  801.74  33.586329  -42.149081  164.26  7809.46  7412.24   93.09    0.00  2068.53  7522.2  313.27 169.326 x 168.249 km, e=0.000
  70.000 82.200   33.54  802.40  33.583912  -42.140133  166.56  7808.10  7410.74   93.10    0.00  2065.03  7506.3  312.61 171.659 x 170.575 km, e=0.000
  70.000 82.400   33.54  803.08  33.581469  -42.131678  168.98  7806.62  7409.10   93.11    0.00  2061.41  7490.0  311.93 174.008 x 172.930 km, e=0.000
  70.000 82.600   33.53  803.80  33.578911  -42.122333  171.52  7805.10  7407.42   93.12    0.00  2057.58  7472.7  311.21 176.539 x 175.459 km, e=0.000
