# ****************************************************************************
# CUI
#
# The Advanced Framework for Simulation, Integration, and Modeling (AFSIM)
#
# The use, dissemination or disclosure of data in this file is subject to
# limitation or restriction. See accompanying README and LICENSE for details.
# ****************************************************************************
#Ground target launch data for RED_MRBM_2
#Generated on Thu Jan 14 13:35:14 2010
#loft_angle burn_time ground_range time_of_flight
88.5000 97.9000 416216.92 382.6708
88.5000 97.9200 416604.76 382.8002
88.5000 97.9400 416957.01 382.9298
88.5000 97.9600 417345.44 383.0594
88.5000 97.9800 417698.23 383.1891
88.5000 98.0000 418087.26 383.3188
88.5000 98.0200 418440.59 383.4486
88.5000 98.0400 418830.22 383.5784
88.5000 98.0600 419220.12 383.7083
88.5000 98.0800 419574.31 383.8383
88.5000 98.1000 419964.82 383.9683
88.5000 98.1200 420319.55 384.0984
88.5000 98.1400 420710.66 384.2286
88.5000 98.1600 421102.05 384.3588
88.5000 98.1800 421457.64 384.4890
88.5000 98.2000 421849.64 384.6194
88.5000 98.2200 422205.77 384.7497
88.5000 98.2400 422598.37 384.8802
88.5000 98.2600 422991.26 385.0107
88.5000 98.2800 423348.26 385.1413
88.5000 98.3000 423741.75 385.2719
88.5000 98.3200 424135.54 385.4026
88.5000 98.3400 424493.40 385.5334
88.5000 98.3600 424887.79 385.6642
88.5000 98.3800 425246.20 385.7951
88.5000 98.4000 425641.20 385.9260
88.5000 98.4200 426036.50 386.0570
88.5000 98.4400 426395.77 386.1881
88.5000 98.4600 426791.67 386.3192
88.5000 98.4800 427187.87 386.4504
88.5000 98.5000 427548.01 386.5816
88.5000 98.5200 427944.82 386.7129
88.5000 98.5400 428305.51 386.8443
88.5000 98.5600 428702.94 386.9758
88.5000 98.5800 429100.65 387.1072
88.5000 98.6000 429462.22 387.2388
88.5000 98.6200 429860.55 387.3704
88.5000 98.6400 430259.18 387.5021
88.5000 98.6600 430621.61 387.6339
88.5000 98.6800 431020.86 387.7657
88.5000 98.7000 431383.85 387.8975
88.5000 98.7200 431783.71 388.0295
88.5000 98.7400 432183.87 388.1615
88.5000 98.7600 432547.74 388.2935
