# ****************************************************************************
# CUI
#
# The Advanced Framework for Simulation, Integration, and Modeling (AFSIM)
#
# The use, dissemination or disclosure of data in this file is subject to
# limitation or restriction. See accompanying README and LICENSE for details.
# ****************************************************************************
#Ground target launch data for RED_SRBM_3
#Generated on Wed Feb 17 08:03:03 2010
#loft_angle burn_time ground_range time_of_flight impact_speed impact angle
57.4600 74.8000 543838.75 409.5442 1182.68 -48.2807
57.4600 74.8200 544257.05 409.6753 1181.41 -48.2816
57.4600 74.8400 544675.60 409.8064 1180.16 -48.2826
57.4600 74.8600 545055.12 409.9376 1183.32 -48.2680
57.4600 74.8800 545474.22 410.0688 1182.07 -48.2689
57.4600 74.9000 545893.58 410.2001 1180.83 -48.2697
57.4600 74.9200 546273.88 410.3314 1184.02 -48.2551
57.4600 74.9400 546693.80 410.4628 1182.78 -48.2559
57.4600 74.9600 547074.58 410.5943 1185.98 -48.2413
57.4600 74.9800 547495.05 410.7258 1184.75 -48.2421
57.4600 75.0000 547915.79 410.8574 1183.53 -48.2428
57.4600 75.0200 548297.34 410.9890 1186.75 -48.2281
57.4600 75.0400 548718.64 411.1207 1185.54 -48.2289
57.4600 75.0600 549140.18 411.2524 1184.33 -48.2296
57.4600 75.0800 549522.52 411.3843 1187.57 -48.2148
57.4600 75.1000 549944.63 411.5161 1186.37 -48.2155
57.4600 75.1200 550327.45 411.6480 1189.63 -48.2007
57.4600 75.1400 550750.12 411.7800 1188.43 -48.2014
57.4600 75.1600 551173.05 411.9121 1187.25 -48.2020
57.4600 75.1800 551556.66 412.0442 1190.52 -48.1872
57.4600 75.2000 551980.15 412.1763 1189.34 -48.1878
57.4600 75.2200 552403.91 412.3085 1188.17 -48.1884
57.4600 75.2400 552788.29 412.4408 1191.47 -48.1735
57.4600 75.2600 553212.61 412.5732 1190.30 -48.1740
57.4600 75.2800 553637.19 412.7055 1189.14 -48.1745
57.4600 75.3000 554022.36 412.8380 1192.46 -48.1596
57.4600 75.3200 554447.51 412.9705 1191.30 -48.1601
