# ****************************************************************************
# CUI
#
# The Advanced Framework for Simulation, Integration, and Modeling (AFSIM)
#
# The use, dissemination or disclosure of data in this file is subject to
# limitation or restriction. See accompanying README and LICENSE for details.
# ****************************************************************************
#Ground target launch data for RED_SRBM_1
#Generated on Thu Jan 14 13:00:44 2010
#loft_angle burn_time ground_range time_of_flight
84.6500 49.5400 55545.85 174.7339
84.6500 49.5600 55627.54 174.8141
84.6500 49.5800 55694.59 174.8944
84.6500 49.6000 55776.44 174.9747
84.6500 49.6200 55858.38 175.0550
84.6500 49.6400 55925.65 175.1354
84.6500 49.6600 56007.77 175.2157
84.6500 49.6800 56075.18 175.2961
84.6500 49.7000 56157.47 175.3765
84.6500 49.7200 56239.84 175.4570
84.6500 49.7400 56307.48 175.5374
84.6500 49.7600 56390.03 175.6179
84.6500 49.7800 56457.82 175.6984
84.6500 49.8000 56540.53 175.7789
84.6500 49.8200 56623.34 175.8594
84.6500 49.8400 56691.37 175.9400
84.6500 49.8600 56774.35 176.0206
84.6500 49.8800 56857.42 176.1011
84.6500 49.9000 56925.68 176.1818
84.6500 49.9200 57008.92 176.2624
84.6500 49.9400 57077.33 176.3431
84.6500 49.9600 57160.75 176.4237
84.6500 49.9800 57244.27 176.5044
84.6500 50.0000 57312.91 176.5851
84.6500 50.0200 57396.60 176.6659
84.6500 50.0400 57465.39 176.7467
84.6500 50.0600 57549.26 176.8274
84.6500 50.0800 57633.23 176.9082
84.6500 50.1000 57702.26 176.9891
84.6500 50.1200 57786.40 177.0699
84.6500 50.1400 57870.63 177.1508
84.6500 50.1600 57939.90 177.2317
84.6500 50.1800 58024.32 177.3126
84.6500 50.2000 58093.74 177.3935
84.6500 50.2200 58178.34 177.4745
84.6500 50.2400 58263.03 177.5554
84.6500 50.2600 58332.68 177.6364
84.6500 50.2800 58417.52 177.7174
84.6500 50.3000 58487.30 177.7985
84.6500 50.3200 58572.30 177.8795
84.6500 50.3400 58657.39 177.9606
84.6500 50.3600 58727.39 178.0417
84.6500 50.3800 58812.65 178.1228
84.6500 50.4000 58898.00 178.2040
