# ****************************************************************************
# CUI
#
# The Advanced Framework for Simulation, Integration, and Modeling (AFSIM)
#
# The use, dissemination or disclosure of data in this file is subject to
# limitation or restriction. See accompanying README and LICENSE for details.
# ****************************************************************************
#Ground target launch data for RED_SRBM_4
#Generated on Wed Apr 14 12:05:27 2010
#loft_angle burn_time ground_range time_of_flight impact_speed impact angle
57.0700 132.5400 1566141.12 657.9249 723.16 -41.3525
57.0700 132.5600 1566908.15 658.0819 723.91 -41.3445
57.0700 132.5800 1567675.69 658.2390 724.67 -41.3364
57.0700 132.6000 1568443.72 658.3961 725.45 -41.3284
57.0700 132.6200 1569239.42 658.5534 721.67 -41.3492
57.0700 132.6400 1570008.49 658.7108 722.46 -41.3410
57.0700 132.6600 1570778.07 658.8683 723.26 -41.3327
57.0700 132.6800 1571548.15 659.0259 724.06 -41.3244
57.0700 132.7000 1572318.73 659.1835 724.88 -41.3160
57.0700 132.7200 1573089.82 659.3413 725.71 -41.3076
57.0700 132.7400 1573861.41 659.4991 726.54 -41.2992
57.0700 132.7600 1574660.72 659.6571 722.82 -41.3196
57.0700 132.7800 1575433.36 659.8151 723.67 -41.3110
57.0700 132.8000 1576206.50 659.9733 724.53 -41.3023
57.0700 132.8200 1576980.14 660.1315 725.40 -41.2936
57.0700 132.8400 1577754.30 660.2898 726.28 -41.2849
57.0700 132.8600 1578528.96 660.4483 727.17 -41.2761
57.0700 132.8800 1579331.38 660.6068 723.49 -41.2962
57.0700 132.9000 1580107.09 660.7654 724.40 -41.2872
57.0700 132.9200 1580883.31 660.9241 725.31 -41.2783
57.0700 132.9400 1581660.04 661.0830 726.23 -41.2692
57.0700 132.9600 1582437.28 661.2419 727.17 -41.2602
57.0700 132.9800 1583242.29 661.4008 723.54 -41.2800
57.0700 133.0000 1584020.58 661.5600 724.48 -41.2707
57.0700 133.0200 1584799.39 661.7192 725.44 -41.2615
57.0700 133.0400 1585578.71 661.8785 726.41 -41.2522
57.0700 133.0600 1586358.54 662.0379 727.39 -41.2428
57.0700 133.0800 1587138.88 662.1973 728.38 -41.2334
57.0700 133.1000 1587947.05 662.3569 724.79 -41.2528
57.0700 133.1200 1588728.45 662.5167 725.79 -41.2433
57.0700 133.1400 1589510.37 662.6764 726.81 -41.2337
57.0700 133.1600 1590292.81 662.8363 727.83 -41.2241
57.0700 133.1800 1591075.75 662.9963 728.87 -41.2144
57.0700 133.2000 1591886.56 663.1564 725.32 -41.2335
57.0700 133.2200 1592670.57 663.3166 726.37 -41.2237
57.0700 133.2400 1593455.11 663.4768 727.43 -41.2138
57.0700 133.2600 1594240.15 663.6372 728.50 -41.2039
57.0700 133.2800 1595025.72 663.7977 729.59 -41.1939
57.0700 133.3000 1595839.18 663.9583 726.08 -41.2127
57.0700 133.3200 1596625.82 664.1189 727.17 -41.2026
57.0700 133.3400 1597412.97 664.2797 728.28 -41.1925
57.0700 133.3600 1598200.65 664.4406 729.40 -41.1823
57.0700 133.3800 1599016.22 664.6015 725.93 -41.2009
57.0700 133.4000 1599804.98 664.7626 727.06 -41.1906
57.0700 133.4200 1600594.26 664.9238 728.21 -41.1802
57.0700 133.4400 1601384.05 665.0850 729.36 -41.1697
57.0700 133.4600 1602174.36 665.2464 730.53 -41.1593
57.0700 133.4800 1602992.63 665.4079 727.10 -41.1776
57.0700 133.5000 1603784.03 665.5694 728.28 -41.1669
57.0700 133.5200 1604575.96 665.7311 729.47 -41.1563
57.0700 133.5400 1605368.40 665.8929 730.67 -41.1456
57.0700 133.5600 1606188.81 666.0547 727.28 -41.1636
57.0700 133.5800 1606982.35 666.2167 728.50 -41.1528
57.0700 133.6000 1607776.41 666.3788 729.73 -41.1419
57.0700 133.6200 1608570.99 666.5409 730.97 -41.1309
57.0700 133.6400 1609393.56 666.7032 727.61 -41.1488
57.0700 133.6600 1610189.23 666.8656 728.86 -41.1377
57.0700 133.6800 1610985.44 667.0280 730.13 -41.1265
57.0700 133.7000 1611782.16 667.1906 731.41 -41.1154
57.0700 133.7200 1612606.90 667.3533 728.08 -41.1330
57.0700 133.7400 1613404.73 667.5161 729.38 -41.1216
57.0700 133.7600 1614203.08 667.6789 730.68 -41.1103
57.0700 133.7800 1615001.96 667.8419 732.00 -41.0989
57.0700 133.8000 1615828.89 668.0050 728.71 -41.1162
57.0700 133.8200 1616628.88 668.1682 730.04 -41.1047
57.0700 133.8400 1617429.39 668.3314 731.39 -41.0931
57.0700 133.8600 1618230.43 668.4948 732.75 -41.0814
57.0700 133.8800 1619059.55 668.6583 729.48 -41.0985
57.0700 133.9000 1619861.70 668.8219 730.86 -41.0868
57.0700 133.9200 1620664.38 668.9856 732.24 -41.0749
57.0700 133.9400 1621467.59 669.1493 733.65 -41.0631
57.0700 133.9600 1622298.93 669.3133 730.41 -41.0799
57.0700 133.9800 1623103.25 669.4773 731.83 -41.0679
57.0700 134.0000 1623908.11 669.6414 733.26 -41.0559
57.0700 134.0200 1624741.08 669.8055 730.05 -41.0725
57.0700 134.0400 1625547.06 669.9699 731.50 -41.0603
57.0700 134.0600 1626353.56 670.1343 732.95 -41.0481
57.0700 134.0800 1627160.59 670.2988 734.42 -41.0358
57.0700 134.1000 1627995.81 670.4634 731.25 -41.0522
57.0700 134.1200 1628803.97 670.6281 732.74 -41.0398
57.0700 134.1400 1629612.66 670.7929 734.23 -41.0274
57.0700 134.1600 1630449.52 670.9579 731.09 -41.0436
57.0700 134.1800 1631259.34 671.1229 732.61 -41.0310
57.0700 134.2000 1632069.69 671.2880 734.13 -41.0184
57.0700 134.2200 1632908.23 671.4533 731.02 -41.0344
57.0700 134.2400 1633719.71 671.6186 732.56 -41.0216
57.0700 134.2600 1634531.73 671.7841 734.12 -41.0088
57.0700 134.2800 1635344.28 671.9496 735.69 -40.9959
57.0700 134.3000 1636185.08 672.1153 732.61 -41.0117
57.0700 134.3200 1636998.77 672.2811 734.19 -40.9987
57.0700 134.3400 1637812.99 672.4469 735.79 -40.9857
57.0700 134.3600 1638655.48 672.6129 732.74 -41.0013
57.0700 134.3800 1639470.84 672.7790 734.35 -40.9881
57.0700 134.4000 1640286.74 672.9451 735.98 -40.9749
57.0700 134.4200 1641130.91 673.1114 732.96 -40.9903
57.0700 134.4400 1641947.95 673.2778 734.60 -40.9769
57.0700 134.4600 1642765.53 673.4443 736.26 -40.9635
57.0700 134.4800 1643611.41 673.6109 733.27 -40.9787
57.0700 134.5000 1644430.13 673.7777 734.94 -40.9652
57.0700 134.5200 1645249.39 673.9445 736.63 -40.9516
57.0700 134.5400 1646096.97 674.1114 733.66 -40.9666
