# ****************************************************************************
# CUI
#
# The Advanced Framework for Simulation, Integration, and Modeling (AFSIM)
#
# The use, dissemination or disclosure of data in this file is subject to
# limitation or restriction. See accompanying README and LICENSE for details.
# ****************************************************************************
#Ground target launch data for RED_ICBM_2
#Generated on Thu Jan 14 13:16:17 2010
#loft_angle burn_time ground_range time_of_flight
89.5900 301.9200 4155432.18 1128.0043
89.5900 301.9400 4158073.45 1128.4075
89.5900 301.9600 4160718.34 1128.8114
89.5900 301.9800 4163366.86 1129.2158
89.5900 302.0000 4166019.01 1129.6208
89.5900 302.0200 4168674.80 1130.0263
89.5900 302.0400 4171334.24 1130.4324
89.5900 302.0600 4173997.33 1130.8391
89.5900 302.0800 4176664.09 1131.2464
89.5900 302.1000 4179336.71 1131.6543
89.5900 302.1200 4182010.83 1132.0627
89.5900 302.1400 4184688.63 1132.4717
89.5900 302.1600 4187370.12 1132.8813
89.5900 302.1800 4190055.32 1133.2914
89.5900 302.2000 4192746.43 1133.7022
89.5900 302.2200 4195439.06 1134.1135
89.5900 302.2400 4198135.42 1134.5255
89.5900 302.2600 4200835.52 1134.9380
89.5900 302.2800 4203541.55 1135.3511
89.5900 302.3000 4206249.15 1135.7648
89.5900 302.3200 4208960.51 1136.1791
89.5900 302.3400 4211675.64 1136.5939
89.5900 302.3600 4214396.73 1137.0094
89.5900 302.3800 4217119.43 1137.4255
89.5900 302.4000 4219845.92 1137.8421
89.5900 302.4200 4222578.39 1138.2594
89.5900 302.4400 4225312.50 1138.6773
89.5900 302.4600 4228050.42 1139.0957
89.5900 302.4800 4230794.35 1139.5148
89.5900 302.5000 4233539.94 1139.9345
89.5900 302.5200 4236291.56 1140.3547
89.5900 302.5400 4239044.85 1140.7756
89.5900 302.5600 4241801.99 1141.1971
89.5900 302.5800 4244565.20 1141.6192
89.5900 302.6000 4247330.09 1142.0419
89.5900 302.6200 4250101.07 1142.4652
89.5900 302.6400 4252873.75 1142.8892
89.5900 302.6600 4255652.52 1143.3137
