# ****************************************************************************
# CUI
#
# The Advanced Framework for Simulation, Integration, and Modeling (AFSIM)
#
# The use, dissemination or disclosure of data in this file is subject to
# limitation or restriction. See accompanying README and LICENSE for details.
# ****************************************************************************
#Air target launch data for BLUE_LR_SAM
#Generated on Mon Apr 19 14:34:08 2010
#ground_range altitude time_of_flight speed flight_path_angle
20.0000
 145461.60 68326.03 100.5000 1574.04 4.9508
 146237.33 68392.79 101.0000 1573.56 4.7832
 147013.01 68457.24 101.5000 1573.09 4.6155
 147788.64 68519.38 102.0000 1572.64 4.4478
 148564.22 68579.20 102.5000 1572.20 4.2799
 149339.75 68636.71 103.0000 1571.78 4.1119
 150115.24 68691.91 103.5000 1571.37 3.9439
 150890.67 68744.79 104.0000 1570.98 3.7758
 151666.06 68795.36 104.5000 1570.60 3.6076
 152441.41 68843.62 105.0000 1570.24 3.4393
 153216.70 68889.56 105.5000 1569.89 3.2710
 153991.96 68933.19 106.0000 1569.55 3.1026
 154767.17 68974.51 106.5000 1569.23 2.9342
 155542.34 69013.52 107.0000 1568.93 2.7656
 156317.47 69050.21 107.5000 1568.64 2.5971
 157092.55 69084.60 108.0000 1568.36 2.4285
 157867.60 69116.67 108.5000 1568.10 2.2598
 158642.60 69146.43 109.0000 1567.85 2.0911
 159417.57 69173.88 109.5000 1567.62 1.9223
 160192.50 69199.01 110.0000 1567.40 1.7535
 160967.39 69221.84 110.5000 1567.19 1.5846
 161742.25 69242.35 111.0000 1567.00 1.4157
 162517.06 69260.55 111.5000 1566.83 1.2468
 163291.85 69276.44 112.0000 1566.67 1.0779
 164066.60 69290.02 112.5000 1566.52 0.9089
 164841.31 69301.29 113.0000 1566.39 0.7399
 165615.99 69310.25 113.5000 1566.27 0.5709
 166390.64 69316.90 114.0000 1566.17 0.4019
 167165.25 69321.24 114.5000 1566.08 0.2328
 167939.83 69323.26 115.0000 1566.00 0.0637
-1.00 -1.00 -1.0000 -1.00 -1.0000
20.4000
 15693.48 17197.74 20.0000 2708.99 41.6865
 16729.35 18118.35 20.5000 2844.68 41.4178
 17822.07 19080.73 21.0000 2991.22 41.1628
 18976.11 20088.43 21.5000 3150.02 40.9213
 20155.03 21109.52 22.0000 3023.07 40.6842
 21262.49 22060.59 22.5000 2836.17 40.4294
 22311.76 22953.45 23.0000 2691.92 40.1580
 23316.13 23799.83 23.5000 2577.23 39.8722
 24285.03 24608.00 24.0000 2483.91 39.5737
 25225.37 25383.99 24.5000 2406.53 39.2639
 26142.37 26132.39 25.0000 2341.36 38.9439
 27040.12 26856.70 25.5000 2285.74 38.6149
 27921.82 27559.71 26.0000 2237.80 38.2776
 28790.04 28243.62 26.5000 2196.06 37.9327
 29646.90 28910.24 27.0000 2159.38 37.5810
 30494.13 29561.04 27.5000 2126.95 37.2229
 31333.18 30197.24 28.0000 2098.06 36.8590
 32165.26 30819.86 28.5000 2072.14 36.4896
 32991.40 31429.76 29.0000 2048.78 36.1152
 33812.47 32027.66 29.5000 2027.61 35.7361
 34629.23 32614.18 30.0000 2008.34 35.3525
 35442.35 33189.86 30.5000 1990.77 34.9648
 36252.39 33755.18 31.0000 1974.64 34.5732
 37059.86 34310.51 31.5000 1959.79 34.1779
 37865.16 34856.22 32.0000 1946.01 33.7790
 38668.67 35392.57 32.5000 1933.21 33.3769
 39470.69 35919.84 33.0000 1921.23 32.9716
 40271.51 36438.22 33.5000 1909.99 32.5632
 41071.34 36947.91 34.0000 1899.40 32.1518
 41870.40 37449.06 34.5000 1889.37 31.7377
 42668.84 37941.81 35.0000 1879.83 31.3208
 43466.81 38426.29 35.5000 1870.73 30.9013
 44264.43 38902.58 36.0000 1862.01 30.4792
 45061.81 39370.77 36.5000 1853.63 30.0545
 45859.01 39830.94 37.0000 1845.54 29.6274
 46656.10 40283.15 37.5000 1837.70 29.1979
 47453.14 40727.44 38.0000 1830.07 28.7660
 48250.14 41163.86 38.5000 1822.64 28.3321
 49047.13 41592.52 39.0000 1815.51 27.9097
 49844.06 42013.78 39.5000 1808.74 27.5050
 50640.90 42427.95 40.0000 1802.29 27.1165
 51437.61 42835.36 40.5000 1796.13 26.7425
 52234.18 43236.27 41.0000 1790.26 26.3823
 53030.59 43630.95 41.5000 1784.64 26.0343
 53826.82 44019.64 42.0000 1779.25 25.6979
 54622.85 44402.55 42.5000 1774.08 25.3720
 55418.67 44779.88 43.0000 1769.11 25.0556
 56214.28 45151.83 43.5000 1764.33 24.7486
 57009.66 45518.55 44.0000 1759.72 24.4496
 57804.82 45880.21 44.5000 1755.27 24.1584
 58599.74 46236.96 45.0000 1750.98 23.8745
 59394.43 46588.94 45.5000 1746.83 23.5971
 60188.88 46936.26 46.0000 1742.82 23.3260
 60983.09 47279.06 46.5000 1738.93 23.0606
 61777.06 47617.44 47.0000 1735.15 22.8000
 62570.79 47951.49 47.5000 1731.48 22.5442
 63364.27 48281.31 48.0000 1727.91 22.2928
 64157.52 48606.99 48.5000 1724.44 22.0455
 64950.52 48928.60 49.0000 1721.05 21.8021
 65743.28 49246.22 49.5000 1717.76 21.5624
 66535.80 49559.92 50.0000 1714.55 21.3260
 67328.09 49869.78 50.5000 1711.42 21.0930
 68120.14 50175.85 51.0000 1708.36 20.8630
 68911.96 50478.20 51.5000 1705.38 20.6359
