# ****************************************************************************
# CUI
#
# The Advanced Framework for Simulation, Integration, and Modeling (AFSIM)
#
# The use, dissemination or disclosure of data in this file is subject to
# limitation or restriction. See accompanying README and LICENSE for details.
# ****************************************************************************
#Air target launch data for BLUE_SR_SAM
#Generated on Wed Feb 03 16:41:21 2010
#ground_range altitude time_of_flight speed flight_path_angle
20.0000
 6149.11 1312.62 10.0000 1277.62 9.9028
 6793.56 1423.94 10.5000 1338.68 9.6965
 7468.15 1538.02 11.0000 1398.36 9.4997
 8172.17 1654.65 11.5000 1456.56 9.3114
 8904.89 1773.62 12.0000 1513.19 9.1308
 9665.50 1894.71 12.5000 1568.17 8.9572
 10453.19 2017.71 13.0000 1621.44 8.7899
 11231.12 2136.88 13.5000 1529.50 8.6201
 11966.66 2247.26 14.0000 1448.23 8.4396
 12664.61 2349.68 14.5000 1375.82 8.2484
 13328.96 2444.86 15.0000 1310.87 8.0469
 13963.11 2533.37 15.5000 1252.25 7.8349
 14569.92 2615.72 16.0000 1199.05 7.6127
 15151.87 2692.35 16.5000 1150.53 7.3803
 15711.10 2763.62 17.0000 1106.08 7.1377
 16249.49 2829.88 17.5000 1065.20 6.8852
 16768.66 2891.41 18.0000 1027.45 6.6226
 17270.07 2948.46 18.5000 992.47 6.3502
 17754.99 3001.25 19.0000 959.97 6.0678
 18224.57 3050.00 19.5000 929.67 5.7757
 18679.82 3094.87 20.0000 901.35 5.4738
 19121.66 3136.03 20.5000 874.81 5.1621
 19550.91 3173.62 21.0000 849.88 4.8408
 19968.32 3207.79 21.5000 826.42 4.5099
 20374.57 3238.64 22.0000 804.30 4.1693
 20770.28 3266.30 22.5000 783.39 3.8191
 21156.01 3290.86 23.0000 763.62 3.4595
 21532.27 3312.41 23.5000 744.87 3.0903
 21899.56 3331.04 24.0000 727.07 2.7116
 22258.29 3346.83 24.5000 710.16 2.3236
-1.00 -1.00 -1.0000 -1.00 -1.0000
22.2000
 6149.37 1328.74 10.0000 1277.99 10.0477
 6793.72 1441.72 10.5000 1339.08 9.8415
 7468.23 1557.55 11.0000 1398.82 9.6449
 8172.20 1676.01 11.5000 1457.10 9.4567
 8904.89 1796.88 12.0000 1513.82 9.2763
 9665.54 1919.96 12.5000 1568.92 9.1028
 10453.31 2045.03 13.0000 1622.33 8.9357
 11231.40 2166.25 13.5000 1530.52 8.7661
 11967.18 2278.59 14.0000 1449.36 8.5858
 12665.45 2382.89 14.5000 1377.05 8.3949
 13330.19 2479.85 15.0000 1312.19 8.1936
 13964.77 2570.08 15.5000 1253.64 7.9820
 14572.07 2654.09 16.0000 1200.51 7.7601
 15154.56 2732.32 16.5000 1152.05 7.5281
 15714.37 2805.14 17.0000 1107.66 7.2860
 16253.37 2872.89 17.5000 1066.82 7.0339
 16773.19 2935.87 18.0000 1029.11 6.7718
